author	section	date	title	url	plethora	copious
Cameron Sheppard	news	December 22, 2021 10:20 am	King County to skip annual homeless count again,...	https://www.mi-reporter.com/news/king-county-to-skip-annual-homeless-count-again-citing-faulty-methodology/	0	0
Andy Nystrom	news	December 22, 2021 8:30 am	West Mercer students support The Ocean Cleanup Project...	https://www.mi-reporter.com/news/west-mercer-students-support-the-ocean-cleanup-project-at-market-place/	0	1
Andy Nystrom	news	December 21, 2021 12:30 pm	Mercer Island Police Department receives reaccreditation	https://www.mi-reporter.com/news/mercer-island-police-department-receives-reaccreditation/	0	0
Conor Wilson	news	December 20, 2021 12:40 pm	State legislators unsure if federal infrastructure law will...	https://www.mi-reporter.com/news/state-legislators-unsure-if-federal-infrastructure-law-will-help-highway-18/	0	0
Reporter Staff	news	December 20, 2021 11:30 am	Porter and Yeh are Rotary Islanders of the...	https://www.mi-reporter.com/news/porter-and-yeh-are-rotary-islanders-of-the-month/	0	0
	news	December 20, 2021 10:30 am	MIHS Drama will present ‘Peter and the Starcatcher’	https://www.mi-reporter.com/news/mihs-drama-will-present-peter-and-the-starcatcher/	0	0
Cameron Sheppard	news	December 17, 2021 4:00 pm	Pfizer, Moderna vaccines now recommended over Johnson &...	https://www.mi-reporter.com/news/pfizer-moderna-vaccines-now-recommended-over-johnson-johnson/	0	0
Andy Nystrom	news	December 17, 2021 2:30 pm	Eight people associated with the MIHS wrestling program...	https://www.mi-reporter.com/news/eight-people-associated-with-the-mihs-wrestling-program-test-positive-for-covid-19/	0	0
	news	December 17, 2021 8:30 am	Singing in the park	https://www.mi-reporter.com/news/singing-in-the-park/	0	0
Andy Nystrom	news	December 16, 2021 4:30 pm	Legislators participate in discussions on local and regional...	https://www.mi-reporter.com/news/legislators-participate-in-discussions-on-local-and-regional-issues/	0	0
Cameron Sheppard	news	December 16, 2021 4:00 pm	UW researchers looking for stressed nurses and doctors...	https://www.mi-reporter.com/news/uw-researchers-looking-for-stressed-nurses-and-doctors-to-take-part-in-a-psilocybin-study/	0	0
Reporter Staff	news	December 16, 2021 9:30 am	Suspects purchase electronics with counterfeit money | Mercer...	https://www.mi-reporter.com/news/suspects-purchase-electronics-with-counterfeit-money-mercer-island-police-blotter/	0	0
Andy Nystrom	news	December 15, 2021 5:30 pm	‘Photos are something you can keep forever’	https://www.mi-reporter.com/news/photos-are-something-you-can-keep-forever/	1	0
Cameron Sheppard	news	December 15, 2021 11:30 am	Health department: COVID outbreaks linked to high school...	https://www.mi-reporter.com/news/doh-says-several-outbreaks-tied-to-high-school-wrestling-tournaments-on-dec-4/	0	0
Cameron Sheppard	news	December 14, 2021 4:30 pm	King County close to making trade with Seattle...	https://www.mi-reporter.com/news/king-county-close-to-making-trade-with-seattle-for-city-hall-park/	0	0
Andy Nystrom	news	December 14, 2021 3:30 pm	City will expand community center hours and operations...	https://www.mi-reporter.com/news/city-will-expand-community-center-hours-and-operations-in-january/	0	0
	news	December 14, 2021 8:30 am	Local Eagle Scouts give back to the community	https://www.mi-reporter.com/news/local-eagle-scouts-give-back-to-the-community/	0	0
Alex Bruell	news	December 13, 2021 6:40 pm	One skier dies, five survive after backcountry Crystal...	https://www.mi-reporter.com/news/one-skier-dies-five-survive-after-backcountry-crystal-mountain-avalanche/	0	0
	news	December 17, 2021 3:15 pm	Snow on Christmas Eve? | King County weather...	https://www.mi-reporter.com/news/king-county-could-see-snow-this-week-weather-report-dec-14-17/	0	0
	news	December 13, 2021 5:30 pm	Ringing bells for Salvation Army donations	https://www.mi-reporter.com/news/ringing-bells-for-salvation-army-donations/	0	0
Cameron Sheppard	news	December 13, 2021 5:30 pm	Healthcare workers facing widespread burnout amid pandemic, say...	https://www.mi-reporter.com/news/healthcare-workers-facing-widespread-burnout-amid-pandemic-say-multiple-unions/	0	0
